StudentID,StudentName,Gender,Age,City,Email,Phone,JoiningDate
101,Student101,Male,21,Mumbai,student101@gmail.com,9961425548,2024-01-17
102,Student102,Female,22,Hyderabad,student102@gmail.com,9631969374,2024-04-25
103,Student103,Male,23,Pune,student103@gmail.com,9946885253,2024-02-23
104,Student104,Female,20,Pune,student104@gmail.com,9130437866,2024-04-09
105,Student105,Male,23,Mumbai,student105@gmail.com,9918492001,2024-01-01
106,Student106,Female,25,Pune,student106@gmail.com,9385970256,2024-02-28
107,Student107,Male,24,Hyderabad,student107@gmail.com,9440837476,2024-01-08
108,Student108,Female,20,Hyderabad,student108@gmail.com,9797444855,2024-05-18
109,Student109,Male,20,Pune,student109@gmail.com,9837106430,2024-02-25
110,Student110,Female,23,Hyderabad,student110@gmail.com,9666537775,2024-02-26
111,Student111,Male,23,Pune,student111@gmail.com,9693628450,2024-02-29
112,Student112,Female,22,Bangalore,student112@gmail.com,9826760591,2024-02-26
113,Student113,Male,23,Chennai,student113@gmail.com,9123074397,2024-04-16
114,Student114,Female,24,Hyderabad,student114@gmail.com,9299615329,2024-06-10
115,Student115,Male,25,Chennai,student115@gmail.com,9229804604,2024-03-26
116,Student116,Female,25,Mumbai,student116@gmail.com,9553233942,2024-05-09
117,Student117,Male,25,Bangalore,student117@gmail.com,9425739463,2024-03-13
118,Student118,Female,24,Pune,student118@gmail.com,9642544369,2024-04-10
119,Student119,Male,24,Hyderabad,student119@gmail.com,9615639791,2024-03-03
120,Student120,Female,25,Pune,student120@gmail.com,9544866269,2024-06-19
121,Student121,Male,21,Chennai,student121@gmail.com,9689268179,2024-06-28
122,Student122,Female,25,Chennai,student122@gmail.com,9192843870,2024-04-22
123,Student123,Male,25,Mumbai,student123@gmail.com,9215890309,2024-02-11
124,Student124,Female,24,Pune,student124@gmail.com,9497845686,2024-05-05
125,Student125,Male,25,Hyderabad,student125@gmail.com,9603928666,2024-01-12
126,Student126,Female,22,Mumbai,student126@gmail.com,9736926179,2024-05-28
127,Student127,Male,23,Bangalore,student127@gmail.com,9281026748,2024-05-08
128,Student128,Female,21,Hyderabad,student128@gmail.com,9927342927,2024-02-21
129,Student129,Male,24,Mumbai,student129@gmail.com,9349297217,2024-04-13
130,Student130,Female,24,Chennai,student130@gmail.com,9720402451,2024-03-31
131,Student131,Male,23,Chennai,student131@gmail.com,9807826512,2024-05-20
132,Student132,Female,24,Hyderabad,student132@gmail.com,9511983601,2024-05-11
133,Student133,Male,21,Mumbai,student133@gmail.com,9934723866,2024-05-23
134,Student134,Female,21,Pune,student134@gmail.com,9160261934,2024-05-03
135,Student135,Male,22,Mumbai,student135@gmail.com,9695283749,2024-02-21
136,Student136,Female,24,Pune,student136@gmail.com,9620684370,2024-04-01
137,Student137,Male,23,Chennai,student137@gmail.com,9101701610,2024-05-17
138,Student138,Female,24,Mumbai,student138@gmail.com,9944438224,2024-06-05
139,Student139,Male,22,Pune,student139@gmail.com,9744089601,2024-01-08
140,Student140,Female,21,Bangalore,student140@gmail.com,9691370036,2024-05-29
141,Student141,Male,21,Hyderabad,student141@gmail.com,9957317285,2024-05-21
142,Student142,Female,22,Hyderabad,student142@gmail.com,9822750144,2024-01-19
143,Student143,Male,20,Hyderabad,student143@gmail.com,9586403747,2024-01-04
144,Student144,Female,22,Bangalore,student144@gmail.com,9388451869,2024-01-29
145,Student145,Male,24,Bangalore,student145@gmail.com,9469821234,2024-03-15
146,Student146,Female,20,Bangalore,student146@gmail.com,9271396602,2024-03-06
147,Student147,Male,24,Bangalore,student147@gmail.com,9805079554,2024-03-10
148,Student148,Female,25,Chennai,student148@gmail.com,9588232158,2024-06-28
149,Student149,Male,22,Pune,student149@gmail.com,9608707754,2024-01-30
150,Student150,Female,20,Chennai,student150@gmail.com,9515062531,2024-03-28
151,Student151,Male,23,Bangalore,student151@gmail.com,9377477256,2024-01-28
